Timestamp,X,Y,Z,Roll,Yaw,Pitch,DesiredAngle
1741601685.105,-0.3221,-1.0604,-4.4516,0.0062,-27.0840,91.2702,180.00
1741601733.382,-0.3166,-1.0599,-4.4468,-1.2352,62.8959,91.3667,-90.00
1741601765.709,-0.3153,-1.0587,-4.4402,179.5033,152.2264,-90.7699,0.00
1741601791.294,-0.3167,-1.0583,-4.4358,175.7751,-116.9291,-93.0895,90.00
1741601865.661,0.0268,-1.0561,-4.7322,-178.6381,119.0781,-91.6687,-30.00
1741601908.556,0.1723,-1.0526,-4.8771,179.2369,-176.6225,-91.1375,30.00
1741601951.900,1.8575,-1.0626,-3.5917,-179.7498,-116.2825,-90.0112,90.00
1741601974.925,1.8575,-1.0629,-3.5843,179.5210,152.3382,-89.5055,0.00
