Timestamp,d_laser_x,d_laser_z,laser_x,laser_z,X,Y,Z,Yaw,Roll,Pitch,X_aligned,Z_aligned,Error,High_Error_Flag
1740983138.744,2.191,4.044,0.419,0.331,-0.9295,-1.1983,-4.7721,34.9598,0.8531,90.4298,0.40639075053032414,0.10083839222059066,0.17576978981023691,1
1740983138.824,2.19,4.058,0.417,0.318,-0.924,-1.1976,-4.7796,35.0831,0.7685,90.4607,0.40717105844568335,0.09157064602445653,0.1849470903592404,1
1740983138.903,2.19,4.069,0.417,0.308,-0.9191,-1.1975,-4.7867,35.1941,0.6994,90.4948,0.4076481090648807,0.08295714367607321,0.1935040500073411,1
1740983138.983,2.192,4.069,0.419,0.308,-0.9146,-1.1975,-4.793,35.2427,0.6486,90.5285,0.4082011865022137,0.07523483149982546,0.20117271810525056,1
1740983139.063,2.193,4.079,0.42,0.299,-0.9118,-1.1972,-4.7974,35.3262,0.643,90.5481,0.40829494506031283,0.07002031241055517,0.20637114653086988,1
1740983139.142,2.193,4.093,0.42,0.285,-0.911,-1.1973,-4.7984,35.3296,0.6271,90.5746,0.40845586456656546,0.06874983812412294,0.2076294413886181,1
1740983139.222,2.194,4.102,0.421,0.276,-0.9112,-1.1974,-4.7981,35.3219,0.6312,90.5923,0.4084417157852127,0.06911011553388446,0.20727068002209578,1
1740983139.302,2.194,4.101,0.421,0.277,-0.9114,-1.1973,-4.798,35.3267,0.6298,90.6043,0.40832324262301833,0.06929975759103213,0.20708860516581049,1
1740983139.381,2.195,4.101,0.422,0.277,-0.9113,-1.1973,-4.7979,35.329,0.6295,90.6044,0.4084607224897465,0.06933291307691825,0.20704714027909632,1
1740983139.461,2.194,4.099,0.421,0.279,-0.9113,-1.1973,-4.798,35.3246,0.6366,90.6011,0.4084085602993257,0.06924759540061176,0.2071354657256088,1
1740983139.541,2.194,4.102,0.421,0.276,-0.9114,-1.1974,-4.7981,35.3296,0.6461,90.5957,0.4082710804325975,0.06921443991472565,0.2071769612025768,1
1740983139.62,2.194,4.101,0.421,0.277,-0.9115,-1.1973,-4.7978,35.3309,0.6398,90.5974,0.4083422493275526,0.06952255513406636,0.20686506203428967,1
1740983139.7,2.194,4.101,0.42,0.277,-0.9114,-1.1973,-4.7981,35.3362,0.6437,90.5807,0.4082710804325975,0.06921443991472565,0.2071769612025768,1
1740983139.779,2.195,4.101,0.422,0.277,-0.9113,-1.1974,-4.798,35.3274,0.6459,90.5808,0.4084085602993257,0.06924759540061176,0.2071354657256088,1
1740983139.859,2.194,4.1,0.421,0.278,-0.9115,-1.1973,-4.7979,35.3193,0.6425,90.5946,0.40829008713713133,0.06943723745775943,0.20695341686974822,1
1740983139.939,2.194,4.098,0.421,0.28,-0.9114,-1.1974,-4.798,35.3168,0.6291,90.5907,0.40832324262301833,0.06929975759103213,0.20708860516581049,1
1740983140.018,2.194,4.099,0.421,0.279,-0.9114,-1.1974,-4.798,35.3093,0.6292,90.5886,0.40832324262301833,0.06929975759103213,0.20708860516581049,1
1740983140.098,2.194,4.101,0.421,0.277,-0.9114,-1.1972,-4.7978,35.3036,0.6284,90.5992,0.40842756700385996,0.06947039294364599,0.2069119248914727,1
1740983140.178,2.194,4.101,0.421,0.277,-0.9114,-1.1975,-4.7981,35.3075,0.6244,90.5859,0.4082710804325975,0.06921443991472565,0.2071769612025768,1
1740983140.257,2.195,4.098,0.422,0.28,-0.9114,-1.1973,-4.7979,35.3071,0.6102,90.5989,0.4083754048134387,0.06938507526733861,0.20700025972425223,1
1740983140.337,2.194,4.1,0.421,0.278,-0.9114,-1.1973,-4.798,35.313,0.6227,90.584,0.40832324262301833,0.06929975759103213,0.20708860516581049,1
1740983140.417,2.193,4.099,0.42,0.279,-0.9115,-1.1974,-4.7981,35.3159,0.6206,90.5916,0.40818576275629015,0.06926660210514601,0.20713015830943138,1
1740983140.496,2.193,4.099,0.42,0.279,-0.9114,-1.1973,-4.7979,35.3179,0.6223,90.5828,0.4083754048134387,0.06938507526733861,0.20700025972425223,1
1740983140.576,2.195,4.099,0.422,0.279,-0.9114,-1.1974,-4.7983,35.314,0.6272,90.5796,0.4081667560517559,0.06904380456211179,0.20735370500755596,1
1740983140.656,2.196,4.1,0.423,0.278,-0.9114,-1.1973,-4.7982,35.3139,0.636,90.5938,0.40821891824217715,0.06912912223841916,0.20726532782100116,1
1740983140.735,2.194,4.101,0.421,0.277,-0.9115,-1.1975,-4.798,35.3026,0.6329,90.5983,0.40823792494671096,0.0693519197814525,0.20704178229931522,1
1740983140.815,2.194,4.1,0.421,0.277,-0.9115,-1.1974,-4.7981,35.2913,0.6448,90.5851,0.40818576275629015,0.06926660210514601,0.20713015830943138,1
1740983140.895,2.194,4.1,0.421,0.277,-0.9115,-1.1974,-4.7982,35.2826,0.6359,90.5869,0.4081336005658698,0.06918128442883953,0.20721854488655975,1
1740983140.974,2.194,4.101,0.421,0.276,-0.9115,-1.1974,-4.7982,35.2844,0.6215,90.5965,0.4081336005658698,0.06918128442883953,0.20721854488655975,1
1740983153.717,2.568,4.07,0.799,0.298,-0.6011,-1.1908,-4.5811,33.5423,0.2324,90.9669,0.786203783227656,0.09249452062529562,0.16441540936159926,1
1740983153.797,2.568,4.069,0.799,0.299,-0.6011,-1.1907,-4.581,33.5465,0.2339,90.9756,0.7862559454180764,0.0925798383016021,0.16432183511290646,1
1740983153.876,2.563,4.069,0.794,0.299,-0.6011,-1.1908,-4.581,33.5422,0.2314,90.9817,0.7862559454180764,0.0925798383016021,0.16432183511290646,1
1740983153.956,2.564,4.071,0.795,0.297,-0.6011,-1.1908,-4.581,33.5371,0.2353,90.9806,0.7862559454180764,0.0925798383016021,0.16432183511290646,1
1740983154.036,2.562,4.071,0.793,0.297,-0.6011,-1.1908,-4.581,33.5304,0.2343,90.9734,0.7862559454180764,0.0925798383016021,0.16432183511290646,1
1740983154.115,2.563,4.071,0.794,0.297,-0.6011,-1.1908,-4.5811,33.5407,0.2381,90.9656,0.786203783227656,0.09249452062529562,0.16441540936159926,1
1740983154.195,2.563,4.071,0.794,0.297,-0.6011,-1.1908,-4.5812,33.5369,0.2336,90.9638,0.7861516210372352,0.09240920294898913,0.16450899117133788,1
1740983154.275,2.562,4.071,0.793,0.297,-0.6011,-1.1909,-4.5812,33.5429,0.2356,90.9651,0.7861516210372352,0.09240920294898913,0.16450899117133788,1
1740983154.354,2.568,4.07,0.799,0.298,-0.601,-1.1909,-4.5812,33.5359,0.2238,90.9721,0.786236938713543,0.09235704075856876,0.1645442560894828,1
1740983154.434,2.57,4.072,0.801,0.296,-0.6011,-1.1908,-4.581,33.5358,0.2252,90.9747,0.7862559454180764,0.0925798383016021,0.16432183511290646,1
1740983154.514,2.569,4.07,0.8,0.298,-0.601,-1.1908,-4.5811,33.5337,0.2246,90.9759,0.7862891009039634,0.09244235843487525,0.16445069434749207,1
1740983154.593,2.569,4.072,0.8,0.296,-0.6012,-1.1908,-4.5812,33.5264,0.2322,90.97,0.7860663033609279,0.09246136513940995,0.16447377949199435,1
1740983154.673,2.569,4.072,0.8,0.296,-0.601,-1.1908,-4.581,33.5237,0.2283,90.9644,0.7863412630943842,0.09252767611118173,0.16435714018777278,1
