description,value
Transformation_Matrix,"[[ 8.53176763e-01  5.21621904e-01  7.27686174e-07  3.68865044e+00]
 [-5.21621904e-01  8.53176763e-01  3.91617535e-06  3.68743566e+00]
 [ 1.42191791e-06 -3.72076686e-06  1.00000000e+00 -1.21884277e-05]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
RMSE,0.07252001632160641
Error_Threshold,0.15
High_Error_Points_Count,835
