2024-11-12 14:20:58,084 - Speed: 0.42 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:59,085 - Speed: 0.41 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:00,086 - Speed: 0.25 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:01,087 - Speed: 1.72 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:02,088 - Speed: 0.55 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:03,089 - Speed: 1.84 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:04,090 - Speed: 0.29 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:05,091 - Speed: 0.49 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:06,092 - Speed: 1.07 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:07,093 - Speed: 0.85 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:08,093 - Speed: 0.59 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:09,094 - Speed: 0.39 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:10,095 - Speed: 0.39 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:11,096 - Speed: 0.22 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:12,096 - Speed: 0.22 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:13,097 - Speed: 0.21 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:14,098 - Speed: 0.38 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:15,099 - Speed: 0.21 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:16,100 - Speed: 0.21 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:17,101 - Speed: 0.21 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:18,102 - Speed: 0.20 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:19,103 - Speed: 0.20 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:20,104 - Speed: 0.20 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:21,105 - Speed: 0.36 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:22,106 - Speed: 0.36 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:23,107 - Speed: 0.19 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:24,108 - Speed: 0.19 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:25,109 - Speed: 0.36 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:26,110 - Speed: 0.19 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:27,111 - Speed: 0.35 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:28,112 - Speed: 0.35 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:29,113 - Speed: 0.35 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:30,115 - Speed: 0.35 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:31,117 - Speed: 0.18 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:32,118 - Speed: 0.37 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:33,119 - Speed: 0.34 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:34,120 - Speed: 0.17 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:35,121 - Speed: 0.17 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:36,122 - Speed: 0.17 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:37,123 - Speed: 0.17 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:38,124 - Speed: 0.17 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:39,125 - Speed: 0.33 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:40,126 - Speed: 0.42 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:41,127 - Speed: 0.16 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:42,128 - Speed: 0.32 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:43,129 - Speed: 0.32 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
