timestamp,steering_angle,speed
1725954623389902233,0.0,0.0
1725954623401698667,0.0,0.0
1725954623428095233,0.0,0.0
1725954623455659569,0.0,0.0
1725954623478103535,0.0,0.0
1725954623502523003,0.0,0.0
1725954623530006187,0.0,0.0
1725954623555891954,0.0,0.0
1725954623579385799,0.0,0.0
1725954623602629179,0.0,0.0
1725954623629168632,0.0,0.0
1725954623661977938,0.0,0.0
1725954623682610179,0.0,0.0
1725954623708417073,0.0,0.0
1725954623735583320,0.0,0.0
1725954623762298171,0.0,0.0
1725954623784310673,0.0,0.0
1725954623806536983,0.0,0.0
1725954623836080789,0.0,0.0
1725954623862292582,0.0,0.0
1725954623884577231,0.0,0.0
1725954623908368937,0.0,0.0
1725954623935632897,0.0,0.0
1725954623962012266,0.0,0.0
1725954623984553838,0.0,0.0
1725954624006464866,0.0,0.0
1725954624033745410,0.0,0.0
1725954624062787338,0.0,0.0
1725954624086451398,0.0,0.0
1725954624110814759,0.0,0.0
1725954624142094220,0.0,0.0
1725954624180452320,0.0,0.0
1725954624202997802,0.0,0.0
1725954624231825295,0.0,0.0
1725954624255739556,0.0,0.0
1725954624280148140,0.0,0.0
1725954624302986666,0.0,0.0
1725954624330767121,0.0,0.0
1725954624360804260,0.0,0.0
1725954624384023039,0.0,0.0
1725954624407333942,0.0,0.0
1725954624433216135,0.0,0.0
1725954624460404864,0.0,0.0
1725954624483327611,0.0,0.0
1725954624504352842,0.0,0.0
1725954624530849395,0.0,0.0
1725954624555977421,0.0,0.0
1725954624579272587,0.0,0.0
1725954624606050719,0.0,0.0
1725954624631090123,0.0,0.0
1725954624657879620,0.0,0.0
1725954624684832839,0.0,0.0
1725954624708426989,0.0,0.0
1725954624734633391,0.0,0.0
1725954624760922224,0.0,0.0
1725954624785555873,0.0,0.0
1725954624808891236,0.0,0.0
1725954624833951229,0.0,0.0
1725954624859726785,0.0,0.0
1725954624884050795,0.0,0.0
1725954624905272579,0.0,0.0
1725954624929685790,0.0,0.0
1725954624955583454,0.0,0.0
1725954624980967660,0.0,0.0
1725954625006096733,0.0,0.0
1725954625035249569,0.0,0.0
1725954625061414041,0.0,0.0
1725954625084463232,0.0,0.0
1725954625108044931,0.0,0.0
1725954625134347488,0.0,0.0
1725954625158553971,0.0,0.0
1725954625184762697,0.0,0.0
1725954625206122409,0.0,0.0
1725954625236235954,0.0,0.0
1725954625263901759,0.0,0.0
1725954625286393825,0.0,0.0
1725954625310349890,0.0,0.0
1725954625338027822,0.0,0.0
1725954625362418274,0.0,0.0
1725954625387674200,0.0,0.0
1725954625412559741,0.0,0.0
1725954625439932319,0.0,0.0
1725954625470784284,0.0,0.0
1725954625492558499,0.0,0.0
1725954625514963194,0.0,0.0
1725954625539216739,0.0,0.0
1725954625564812271,0.0,0.0
1725954625590447784,0.0,0.0
1725954625614271108,0.0,0.0
1725954625644200400,0.0,0.0
1725954625667677725,0.0,0.0
1725954625709496194,0.0,0.0
1725954625737750477,0.0,0.0
1725954625764525006,0.0,0.0
1725954625791494062,0.0,0.0
1725954625817208790,0.0,0.0
1725954625842457398,0.0,0.0
1725954625867928387,0.0,0.0
1725954625890021999,0.0,0.0
1725954625914740216,0.0,0.0
1725954625946418890,0.0,0.0
1725954625972849621,0.0,0.0
1725954625995278062,0.0,0.0
1725954626017973967,0.0,0.0
1725954626046950023,0.0,0.0
1725954626076983390,0.0,0.0
1725954626097717476,0.0,0.0
1725954626121742386,0.0,0.0
1725954626149310472,0.0,0.0
1725954626176714699,0.0,0.0
1725954626200670499,0.0,0.0
1725954626235285312,0.0,0.0
1725954626264195026,0.0,0.0
1725954626290071103,0.0,0.0
1725954626316337617,0.0,0.0
1725954626340362220,0.0,0.0
1725954626366327070,0.0,0.0
1725954626391247396,0.0,0.0
1725954626416568985,0.0,0.0
1725954626439386815,0.0,0.0
1725954626471964307,0.0,0.0
1725954626494567582,0.0,0.0
1725954626520522976,0.0,0.0
1725954626547250361,0.0,0.0
1725954626573684513,0.0,0.0
1725954626597480314,0.0,0.0
1725954626620082694,0.0,0.0
1725954626644238945,0.0,0.0
1725954626670039440,0.0,0.0
1725954626693612669,0.0,0.0
1725954626715954753,0.0,0.0
1725954626742684402,0.0,0.0
1725954626771301133,0.0,0.0
1725954626798679388,0.0,0.0
1725954626819585510,0.0,0.0
1725954626841352749,0.0,0.0
1725954626870267675,0.0,0.0
1725954626895763746,0.0,0.0
1725954626917693323,0.0,0.0
1725954626940400427,0.0,0.0
1725954626967115284,0.0,0.0
1725954626992965338,0.0,0.0
1725954627016367500,0.0,0.0
1725954627038253655,0.0,0.0
