Timestamp,Event_Type,Event_Data
2025-04-01 17:54:09,carla_connected,"{""client_version"": ""0.9.15-168-g20a4a4618"", ""server_version"": ""0.9.15-168-g20a4a4618-dirty"", ""map"": ""fsm_lab_map_package/Maps/fsm_lab_sandbox_right_hand_driving_scene/fsm_lab_sandbox_right_hand_driving_scene""}"
2025-04-01 17:56:21,script_start,"{""script"": ""carla_npc_manager.py"", ""args"": {""host"": ""127.0.0.1"", ""port"": 2000, ""tm_port"": 8000, ""alt_tm_port"": 8100, ""seed"": 1743501381, ""asynch"": false, ""num_vehicles"": 5, ""safe_mode"": true, ""batch_spawn"": false}}"
2025-04-01 17:56:22,environment_info,"{""carla_version"": ""0.9.15-168-g20a4a4618"", ""map"": ""fsm_lab_map_package/Maps/fsm_lab_sandbox_right_hand_driving_scene/fsm_lab_sandbox_right_hand_driving_scene"", ""synchronous_mode"": false, ""fixed_delta_seconds"": 0.05}"
2025-04-01 17:56:22,settings_update,"{""synchronous_mode"": true, ""new_setting"": true, ""delta_seconds"": 0.05}"
2025-04-01 17:56:22,spawn_begin,"{""num_vehicles"": 5}"
2025-04-01 17:56:22,vehicle_spawned,"{""id"": 152, ""type"": ""vehicle.mercedes.coupe"", ""location"": {""x"": -49.00275802612305, ""y"": 42.70244598388672, ""z"": 4.0}}"
2025-04-01 17:56:22,target_set,"{""vehicle_id"": 152, ""target"": {""x"": 35.155094146728516, ""y"": 60.053001403808594, ""z"": 4.0}}"
2025-04-01 17:56:22,vehicle_spawned,"{""id"": 153, ""type"": ""vehicle.dodge.charger_police"", ""location"": {""x"": 15.992493629455566, ""y"": 55.219478607177734, ""z"": 4.0}}"
2025-04-01 17:56:22,target_set,"{""vehicle_id"": 153, ""target"": {""x"": -41.77729415893555, ""y"": -0.8878491520881653, ""z"": 4.0}}"
2025-04-01 17:56:22,vehicle_spawned,"{""id"": 154, ""type"": ""vehicle.dodge.charger_2020"", ""location"": {""x"": -23.434144973754883, ""y"": 60.070125579833984, ""z"": 4.0}}"
2025-04-01 17:56:23,target_set,"{""vehicle_id"": 154, ""target"": {""x"": 15.87005615234375, ""y"": 44.50049591064453, ""z"": 4.0}}"
2025-04-01 17:56:23,vehicle_spawned,"{""id"": 155, ""type"": ""vehicle.nissan.patrol_2021"", ""location"": {""x"": 32.719451904296875, ""y"": 56.47551345825195, ""z"": 4.0}}"
2025-04-01 17:56:23,target_set,"{""vehicle_id"": 155, ""target"": {""x"": -18.08839988708496, ""y"": -8.777594566345215, ""z"": 4.15240478515625}}"
