point_index,error,original_x,original_y,original_z,target_x,target_y,target_z,transformed_x,transformed_y,transformed_z,exceeds_threshold
65,0.6928037240084672,1.3468,0,-1.8888,6.491,0,2.888,7.035,0.0,2.459,1
66,0.6925258117933216,1.3449,0,-1.8852,6.485,0,2.885,7.031,0.0,2.459,1
67,0.690507784170461,1.3423,0,-1.8805,6.48,0,2.883,7.025,0.0,2.459,1
68,0.6912315096984515,1.3391,0,-1.8746,6.47,0,2.879,7.019,0.0,2.459,1
69,0.6914000289268145,1.3354,0,-1.8681,6.458,0,2.874,7.011,0.0,2.459,1
70,0.6924023396840884,1.3321,0,-1.8614,6.449,0,2.873,7.004,0.0,2.459,1
71,0.685782035343592,1.3305,0,-1.8573,6.46,0,2.882,6.999,0.0,2.458,1
72,0.6787613719121033,1.3294,0,-1.8543,6.47,0,2.887,6.996,0.0,2.458,1
73,0.6755383038732888,1.3283,0,-1.8511,6.477,0,2.893,6.993,0.0,2.457,1
74,0.6662169316371356,1.3251,0,-1.8457,6.493,0,2.904,6.987,0.0,2.457,1
75,0.6519769934591255,1.3198,0,-1.8373,6.512,0,2.915,6.977,0.0,2.458,1
76,0.6560099084617549,1.3144,0,-1.8276,6.484,0,2.903,6.966,0.0,2.458,1
77,0.6544814741457542,1.3094,0,-1.8182,6.466,0,2.893,6.955,0.0,2.458,1
78,0.6621857745376297,1.306,0,-1.8117,6.447,0,2.89,6.948,0.0,2.457,1
79,0.6621857745376291,1.3036,0,-1.8074,6.442,0,2.89,6.943,0.0,2.457,1
80,0.6665620751287911,1.3013,0,-1.8024,6.426,0,2.885,6.937,0.0,2.457,1
81,0.6687697660630297,1.2989,0,-1.7991,6.415,0,2.881,6.933,0.0,2.458,1
82,0.6655411332141686,1.2974,0,-1.7963,6.417,0,2.882,6.93,0.0,2.458,1
83,0.6470340021977207,1.297,0,-1.7936,6.465,0,2.91,6.927,0.0,2.457,1
84,0.6348488008967175,1.2944,0,-1.7863,6.508,0,2.938,6.92,0.0,2.455,1
85,0.6196006778563109,1.2912,0,-1.7768,6.567,0,2.97,6.91,0.0,2.454,1
86,0.6148666522100543,1.2871,0,-1.7663,6.589,0,2.983,6.899,0.0,2.452,1
87,0.6116575839470966,1.2835,0,-1.7579,6.599,0,2.989,6.89,0.0,2.451,1
88,0.6121339722642419,1.2803,0,-1.751,6.59,0,2.989,6.882,0.0,2.451,1
89,0.6136595147147971,1.2778,0,-1.7458,6.579,0,2.987,6.876,0.0,2.45,1
90,0.6144688763476959,1.2758,0,-1.7418,6.568,0,2.984,6.872,0.0,2.45,1
91,0.6128596903043957,1.2735,0,-1.7373,6.561,0,2.981,6.867,0.0,2.45,1
92,0.6097614287571824,1.2711,0,-1.7308,6.555,0,2.977,6.86,0.0,2.449,1
93,0.6078157615593724,1.2665,0,-1.722,6.542,0,2.973,6.85,0.0,2.449,1
94,0.6085326614077509,1.2631,0,-1.7152,6.536,0,2.974,6.842,0.0,2.448,1
95,0.6095063576370635,1.2609,0,-1.7111,6.525,0,2.971,6.838,0.0,2.448,1
96,0.6084866473473349,1.2584,0,-1.7058,6.516,0,2.968,6.832,0.0,2.448,1
97,0.6060775527933698,1.256,0,-1.7001,6.513,0,2.966,6.826,0.0,2.447,1
98,0.6048842864548557,1.2526,0,-1.6933,6.504,0,2.964,6.818,0.0,2.447,1
99,0.6038095726303121,1.2484,0,-1.6858,6.478,0,2.952,6.809,0.0,2.447,1
100,0.603301748712864,1.2449,0,-1.6793,6.46,0,2.944,6.802,0.0,2.447,1
101,0.6021702417091033,1.2416,0,-1.673,6.455,0,2.944,6.795,0.0,2.447,1
102,0.599696589951952,1.2387,0,-1.6668,6.448,0,2.94,6.788,0.0,2.446,1
103,0.6014815042875383,1.2364,0,-1.662,6.437,0,2.938,6.783,0.0,2.446,1
104,0.5998466470690653,1.234,0,-1.6567,6.431,0,2.936,6.777,0.0,2.446,1
105,0.5996082054141687,1.2315,0,-1.6517,6.424,0,2.934,6.771,0.0,2.445,1
106,0.5981011620119131,1.2282,0,-1.6452,6.414,0,2.93,6.764,0.0,2.445,1
107,0.5947251466013521,1.2249,0,-1.6385,6.41,0,2.928,6.757,0.0,2.445,1
108,0.5952344076076245,1.2216,0,-1.632,6.397,0,2.925,6.749,0.0,2.445,1
109,0.5956148084122826,1.2188,0,-1.6258,6.389,0,2.923,6.743,0.0,2.444,1
110,0.5964000335345393,1.2153,0,-1.6197,6.378,0,2.921,6.736,0.0,2.444,1
111,0.595406583772803,1.2119,0,-1.6132,6.373,0,2.922,6.728,0.0,2.444,1
112,0.5920684082097276,1.2089,0,-1.6073,6.374,0,2.923,6.722,0.0,2.444,1
113,0.588914255218873,1.2055,0,-1.601,6.371,0,2.922,6.715,0.0,2.444,1
114,0.5946511582432172,1.2027,0,-1.596,6.346,0,2.915,6.709,0.0,2.444,1
115,0.5889524598811011,1.1994,0,-1.5903,6.338,0,2.907,6.702,0.0,2.444,1
116,0.584089890342231,1.1964,0,-1.5845,6.331,0,2.9,6.696,0.0,2.444,1
117,0.5829519705773368,1.1939,0,-1.5803,6.318,0,2.892,6.691,0.0,2.444,1
118,0.583988013575621,1.1909,0,-1.5749,6.314,0,2.895,6.685,0.0,2.444,1
119,0.5813123084883025,1.1875,0,-1.5676,6.309,0,2.893,6.677,0.0,2.443,1
120,0.5811729518826557,1.1836,0,-1.5602,6.299,0,2.892,6.668,0.0,2.443,1
121,0.5818083877016555,1.1797,0,-1.5533,6.29,0,2.892,6.66,0.0,2.443,1
122,0.5770909806954188,1.1756,0,-1.5463,6.287,0,2.89,6.652,0.0,2.443,1
123,0.5769506044714743,1.1706,0,-1.5368,6.275,0,2.889,6.641,0.0,2.443,1
124,0.5756839410648865,1.1653,0,-1.5269,6.266,0,2.889,6.63,0.0,2.443,1
125,0.5747208017811781,1.1625,0,-1.5184,6.261,0,2.889,6.621,0.0,2.441,1
126,0.5730069807602695,1.1558,0,-1.5078,6.253,0,2.891,6.609,0.0,2.442,1
127,0.5640434380435608,1.1493,0,-1.497,6.252,0,2.89,6.596,0.0,2.443,1
128,0.5655059681382681,1.1452,0,-1.49,6.234,0,2.884,6.588,0.0,2.443,1
129,0.5661324933264293,1.1401,0,-1.4798,6.222,0,2.883,6.577,0.0,2.442,1
130,0.5637987229499549,1.1349,0,-1.4695,6.21,0,2.88,6.565,0.0,2.442,1
131,0.563022202048907,1.1304,0,-1.4614,6.201,0,2.879,6.556,0.0,2.442,1
132,0.5573912449976228,1.1253,0,-1.4523,6.2,0,2.879,6.546,0.0,2.442,1
133,0.557544617048716,1.1207,0,-1.4434,6.186,0,2.876,6.536,0.0,2.442,1
134,0.5569703762319859,1.1161,0,-1.4351,6.172,0,2.872,6.526,0.0,2.442,1
135,0.5642729835815289,1.1105,0,-1.4276,6.119,0,2.843,6.517,0.0,2.443,1
136,0.5693373340999165,1.1046,0,-1.4193,6.076,0,2.816,6.507,0.0,2.444,1
137,0.5663152832124522,1.0994,0,-1.4108,6.07,0,2.817,6.497,0.0,2.445,1
138,0.5680325694887575,1.0946,0,-1.403,6.057,0,2.815,6.488,0.0,2.445,1
139,0.5633054233717267,1.0893,0,-1.3933,6.054,0,2.817,6.477,0.0,2.445,1
140,0.5603936116695121,1.0837,0,-1.384,6.046,0,2.817,6.466,0.0,2.446,1
141,0.5554979747937886,1.0785,0,-1.3763,6.039,0,2.813,6.456,0.0,2.446,1
142,0.5553422368233847,1.0736,0,-1.369,6.026,0,2.808,6.448,0.0,2.447,1
143,0.5563353305336629,1.0683,0,-1.3604,6.008,0,2.801,6.438,0.0,2.448,1
144,0.5542941457385241,1.0635,0,-1.3521,5.999,0,2.799,6.428,0.0,2.448,1
145,0.552747682039464,1.0586,0,-1.3439,5.991,0,2.799,6.418,0.0,2.448,1
146,0.5444162010814887,1.0535,0,-1.3359,5.992,0,2.799,6.409,0.0,2.449,1
147,0.5384719119879887,1.0488,0,-1.328,5.996,0,2.805,6.4,0.0,2.449,1
148,0.5349392488871982,1.0437,0,-1.3196,5.998,0,2.813,6.39,0.0,2.449,1
149,0.535561387704528,1.0384,0,-1.3116,5.979,0,2.805,6.38,0.0,2.45,1
150,0.5333188539701184,1.0335,0,-1.3039,5.973,0,2.806,6.371,0.0,2.451,1
151,0.5268472264328621,1.0281,0,-1.2952,5.969,0,2.803,6.361,0.0,2.451,1
152,0.5255130826154573,1.0231,0,-1.2872,5.96,0,2.802,6.352,0.0,2.452,1
153,0.5255949010407159,1.018,0,-1.2793,5.949,0,2.802,6.342,0.0,2.453,1
154,0.522689200194533,1.0131,0,-1.271,5.943,0,2.801,6.333,0.0,2.453,1
155,0.519042387479096,1.0084,0,-1.263,5.937,0,2.8,6.323,0.0,2.453,1
156,0.5151397868540152,1.0037,0,-1.2555,5.928,0,2.794,6.315,0.0,2.454,1
157,0.5174263232577173,0.9971,0,-1.2442,5.9,0,2.781,6.301,0.0,2.454,1
158,0.5186530632320608,0.993,0,-1.2393,5.89,0,2.779,6.295,0.0,2.455,1
159,0.5138375229583763,0.9876,0,-1.2313,5.888,0,2.781,6.286,0.0,2.456,1
160,0.5115173506343649,0.9827,0,-1.2232,5.881,0,2.781,6.276,0.0,2.456,1
161,0.5055422830980606,0.9763,0,-1.2152,5.873,0,2.776,6.266,0.0,2.458,1
162,0.5042102735962447,0.9732,0,-1.2078,5.87,0,2.779,6.258,0.0,2.457,1
163,0.5031908186761764,0.97,0,-1.2016,5.866,0,2.781,6.251,0.0,2.457,1
164,0.49623079307918816,0.9659,0,-1.1949,5.876,0,2.791,6.243,0.0,2.457,1
165,0.48856729321558146,0.9622,0,-1.1875,5.908,0,2.82,6.235,0.0,2.457,1
166,0.4798416405440444,0.9584,0,-1.1787,5.963,0,2.858,6.225,0.0,2.456,1
167,0.4812317529008241,0.9543,0,-1.1701,5.996,0,2.884,6.216,0.0,2.456,1
168,0.480342586077895,0.95,0,-1.1621,5.987,0,2.882,6.207,0.0,2.455,1
169,0.47995208094142083,0.9459,0,-1.1548,5.975,0,2.881,6.198,0.0,2.456,1
170,0.4790260953225825,0.9416,0,-1.1469,5.968,0,2.881,6.189,0.0,2.456,1
171,0.47413078364518774,0.9374,0,-1.1396,5.961,0,2.876,6.181,0.0,2.456,1
172,0.47097027507051864,0.9333,0,-1.1321,5.955,0,2.874,6.172,0.0,2.456,1
173,0.46558028308767563,0.9221,0,-1.1118,5.936,0,2.87,6.149,0.0,2.456,1
174,0.46341773811540726,0.9176,0,-1.1055,5.926,0,2.867,6.142,0.0,2.457,1
175,0.46287147244132476,0.9137,0,-1.098,5.928,0,2.871,6.133,0.0,2.456,1
176,0.4616492174801123,0.9092,0,-1.0887,5.907,0,2.864,6.123,0.0,2.456,1
177,0.4562455479234837,0.905,0,-1.0807,5.902,0,2.86,6.114,0.0,2.456,1
178,0.45620718977236707,0.9006,0,-1.0733,5.895,0,2.861,6.105,0.0,2.456,1
179,0.46332062332687046,0.8967,0,-1.065,5.921,0,2.884,6.096,0.0,2.455,1
180,0.49071784153421594,0.8937,0,-1.0561,5.985,0,2.934,6.087,0.0,2.454,1
181,0.5050158413356952,0.8903,0,-1.0479,6.007,0,2.953,6.078,0.0,2.453,1
182,0.5024868157474386,0.8869,0,-1.0411,6.003,0,2.95,6.07,0.0,2.452,1
183,0.4995117616232877,0.8832,0,-1.0333,5.988,0,2.946,6.062,0.0,2.452,1
184,0.5009151624776396,0.8798,0,-1.0264,5.984,0,2.947,6.054,0.0,2.451,1
185,0.5029612311103114,0.8765,0,-1.0198,5.984,0,2.95,6.047,0.0,2.451,1
186,0.5023544565344272,0.8733,0,-1.0139,5.974,0,2.949,6.04,0.0,2.451,1
187,0.49899298592264807,0.8697,0,-1.0067,5.969,0,2.946,6.032,0.0,2.451,1
188,0.49455939987022773,0.8663,0,-1.0004,5.958,0,2.941,6.025,0.0,2.451,1
189,0.49343388614889416,0.8627,0,-0.9929,5.95,0,2.939,6.016,0.0,2.45,1
190,0.4917245163707009,0.8588,0,-0.986,5.941,0,2.937,6.009,0.0,2.45,1
191,0.4894701216621908,0.8545,0,-0.9776,5.933,0,2.935,5.999,0.0,2.45,1
192,0.48063499664506315,0.8462,0,-0.9663,5.926,0,2.929,5.985,0.0,2.452,1
193,0.48413427889377947,0.8446,0,-0.9595,5.923,0,2.931,5.978,0.0,2.45,1
194,0.4832556259372466,0.8421,0,-0.9524,5.915,0,2.929,5.971,0.0,2.449,1
195,0.48175097301406694,0.8386,0,-0.9453,5.903,0,2.926,5.963,0.0,2.448,1
196,0.4808846015417835,0.8345,0,-0.9377,5.894,0,2.925,5.955,0.0,2.448,1
197,0.4900459162160214,0.8285,0,-0.9242,5.908,0,2.936,5.94,0.0,2.447,1
198,0.4861902919639592,0.8235,0,-0.9161,5.896,0,2.932,5.93,0.0,2.447,1
199,0.4848680232805624,0.8191,0,-0.9084,5.892,0,2.932,5.921,0.0,2.448,1
200,0.4766812352086036,0.8154,0,-0.902,5.874,0,2.923,5.914,0.0,2.448,1
201,0.4726118915135336,0.8118,0,-0.8944,5.867,0,2.918,5.906,0.0,2.447,1
202,0.4708768416475797,0.8076,0,-0.8872,5.855,0,2.916,5.897,0.0,2.447,1
203,0.47178490861832334,0.8034,0,-0.8788,5.847,0,2.917,5.888,0.0,2.447,1
204,0.46219584593546487,0.7984,0,-0.8694,5.832,0,2.907,5.877,0.0,2.447,1
205,0.46589698432164156,0.7935,0,-0.8606,5.825,0,2.911,5.867,0.0,2.447,1
206,0.4544370143375207,0.7887,0,-0.8516,5.81,0,2.899,5.857,0.0,2.447,1
207,0.45394713348582777,0.7849,0,-0.8447,5.807,0,2.899,5.849,0.0,2.447,1
208,0.45534712033788,0.7797,0,-0.8348,5.803,0,2.901,5.838,0.0,2.447,1
209,0.44878614060596844,0.7749,0,-0.8264,5.788,0,2.894,5.828,0.0,2.447,1
210,0.44844732132102216,0.7688,0,-0.8174,5.781,0,2.895,5.817,0.0,2.448,1
211,0.4470760561694171,0.7656,0,-0.8094,5.778,0,2.893,5.809,0.0,2.447,1
212,0.4423087157178794,0.7618,0,-0.8017,5.766,0,2.887,5.8,0.0,2.446,1
213,0.4590882268148462,0.7579,0,-0.7935,5.782,0,2.905,5.791,0.0,2.446,1
214,0.4032195431771631,0.7505,0,-0.7811,5.696,0,2.841,5.777,0.0,2.446,1
215,0.470153166531929,0.746,0,-0.7731,5.78,0,2.916,5.768,0.0,2.446,1
216,0.46531064892177126,0.7414,0,-0.7638,5.774,0,2.911,5.757,0.0,2.446,1
217,0.4674280693325976,0.7367,0,-0.7551,5.767,0,2.913,5.747,0.0,2.446,1
218,0.4664289870923549,0.7331,0,-0.7477,5.759,0,2.911,5.739,0.0,2.445,1
219,0.4676162956955201,0.7295,0,-0.74,5.755,0,2.912,5.731,0.0,2.445,1
220,0.4996158524306449,0.7255,0,-0.7285,5.779,0,2.939,5.719,0.0,2.443,1
221,0.4706187416582556,0.7202,0,-0.7201,5.748,0,2.912,5.709,0.0,2.443,1
222,0.4726118915135337,0.7164,0,-0.7135,5.74,0,2.914,5.701,0.0,2.443,1
223,0.4706187416582555,0.7138,0,-0.7067,5.733,0,2.911,5.694,0.0,2.442,1
224,0.4965450634131807,0.7049,0,-0.6976,5.756,0,2.937,5.682,0.0,2.446,1
225,0.5060474286072403,0.7049,0,-0.6912,5.754,0,2.943,5.676,0.0,2.443,1
226,0.5099656851200873,0.7047,0,-0.6849,5.754,0,2.943,5.67,0.0,2.44,1
227,0.5081594238031997,0.7021,0,-0.6777,5.748,0,2.94,5.663,0.0,2.439,1
228,0.5104684123430162,0.6978,0,-0.6695,5.741,0,2.941,5.654,0.0,2.438,1
229,0.5195199707422226,0.693,0,-0.6608,5.743,0,2.948,5.644,0.0,2.438,1
230,0.5431114066193047,0.689,0,-0.6522,5.757,0,2.967,5.634,0.0,2.438,1
231,0.5452201390264302,0.6845,0,-0.6437,5.757,0,2.967,5.625,0.0,2.438,1
232,0.5467037589042166,0.68,0,-0.6362,5.754,0,2.967,5.616,0.0,2.438,1
233,0.535522175077746,0.6765,0,-0.628,5.735,0,2.957,5.607,0.0,2.437,1
234,0.5406459100002518,0.6726,0,-0.6198,5.735,0,2.96,5.598,0.0,2.437,1
235,0.5438014343489729,0.6686,0,-0.6114,5.727,0,2.962,5.589,0.0,2.436,1
236,0.5458864350760145,0.6652,0,-0.6036,5.726,0,2.961,5.58,0.0,2.435,1
237,0.5431620384378864,0.6615,0,-0.5958,5.715,0,2.959,5.572,0.0,2.435,1
238,0.5451917094013812,0.6574,0,-0.5879,5.71,0,2.959,5.563,0.0,2.434,1
239,0.5417647090758126,0.6534,0,-0.5795,5.698,0,2.956,5.553,0.0,2.434,1
240,0.5428489661038324,0.6491,0,-0.5713,5.693,0,2.956,5.544,0.0,2.434,1
241,0.543567843051813,0.6455,0,-0.5636,5.691,0,2.954,5.536,0.0,2.433,1
242,0.5351607235214485,0.6418,0,-0.5561,5.676,0,2.947,5.527,0.0,2.433,1
243,0.545387935326773,0.6379,0,-0.5474,5.676,0,2.954,5.518,0.0,2.432,1
244,0.5481103903412159,0.6336,0,-0.5389,5.672,0,2.955,5.508,0.0,2.432,1
245,0.547220248163388,0.6299,0,-0.5314,5.661,0,2.954,5.5,0.0,2.431,1
246,0.5502453997990351,0.6259,0,-0.5227,5.661,0,2.954,5.49,0.0,2.431,1
247,0.5527675822622019,0.622,0,-0.5156,5.658,0,2.954,5.482,0.0,2.43,1
248,0.6028001327139869,0.6187,0,-0.5063,5.691,0,2.991,5.473,0.0,2.429,1
249,0.6798830781833002,0.6168,0,-0.4976,5.743,0,3.046,5.464,0.0,2.426,1
250,0.7143346554661895,0.6142,0,-0.4895,5.763,0,3.07,5.456,0.0,2.425,1
251,0.723602791592183,0.6108,0,-0.4811,5.767,0,3.073,5.447,0.0,2.424,1
252,0.7182485642171518,0.6076,0,-0.4729,5.754,0,3.067,5.438,0.0,2.422,1
253,0.7178091668403238,0.6042,0,-0.4642,5.744,0,3.066,5.429,0.0,2.421,1
254,0.7137765756873786,0.6006,0,-0.4559,5.734,0,3.061,5.42,0.0,2.42,1
255,0.7079668071315213,0.597,0,-0.448,5.722,0,3.056,5.411,0.0,2.42,1
256,0.720501214433397,0.5908,0,-0.4355,5.726,0,3.06,5.397,0.0,2.419,1
257,0.7186723871139057,0.5914,0,-0.4344,5.717,0,3.061,5.396,0.0,2.418,1
258,0.6981246307071539,0.5887,0,-0.429,5.697,0,3.045,5.39,0.0,2.418,1
259,0.6834266602935536,0.5847,0,-0.4198,5.676,0,3.033,5.38,0.0,2.417,1
260,0.6807584006092027,0.5798,0,-0.4078,5.662,0,3.029,5.368,0.0,2.415,1
261,0.6721911930395994,0.5753,0,-0.3979,5.652,0,3.019,5.357,0.0,2.415,1
262,0.6744004744956809,0.5709,0,-0.389,5.647,0,3.018,5.347,0.0,2.414,1
263,0.6708241200195473,0.5672,0,-0.3808,5.636,0,3.014,5.338,0.0,2.413,1
264,0.666352009076284,0.5639,0,-0.3732,5.626,0,3.01,5.33,0.0,2.413,1
265,0.6676922943991488,0.5608,0,-0.3667,5.619,0,3.01,5.322,0.0,2.412,1
266,0.682092369111398,0.5559,0,-0.3574,5.627,0,3.017,5.312,0.0,2.412,1
267,0.688839603971781,0.5536,0,-0.351,5.625,0,3.021,5.305,0.0,2.411,1
268,0.6821326850400882,0.5458,0,-0.3311,5.601,0,3.012,5.284,0.0,2.408,1
269,0.6713761985653053,0.5417,0,-0.3228,5.586,0,3.003,5.275,0.0,2.408,1
270,0.5957625365865161,0.5358,0,-0.3118,5.52,0,2.945,5.262,0.0,2.408,1
271,0.6153665574273599,0.53,0,-0.3035,5.528,0,2.959,5.252,0.0,2.409,1
272,0.6775780397858243,0.5266,0,-0.2959,5.57,0,3.002,5.244,0.0,2.408,1
