x,z
3.118,4.108
2.662,4.120
2.453,3.930
2.141,3.879
2.015,4.009
3.625,3.947
4.321,4.089
4.821,3.886
4.966,4.099
5.425,3.076
5.263,2.526
5.469,1.881
5.096,1.521
5.172,1.049
5.136,0.637
1.947,3.791
2.587,3.982
2.074,3.269
2.324,3.110
2.142,2.632
1.844,2.558
1.964,1.717
2.344,1.233
2.691,0.775
3.224,1.204
3.065,1.751
2.979,2.291
2.577,2.602
2.655,3.119
3.122,3.131
3.648,3.157
4.181,3.241
4.451,3.555
4.453,3.264
4.745,2.532
4.718,1.626
5.076,0.741
4.654,0.657
