Timestamp,X,Y,Z,Roll,Yaw,Pitch,DesiredAngle
1741592686.590,1.9048,-1.0847,-1.3696,-178.9127,-150.7469,-88.7461,60.00
1741592762.268,1.9232,-1.0941,-1.3815,3.9055,30.8403,87.2327,-120.00
1741592803.733,1.8754,-1.0894,-1.5058,179.9047,152.8928,-88.8884,0.00
1741592816.756,1.8757,-1.0895,-1.5061,179.8799,152.8872,-88.9049,0.00
1741592841.980,1.8689,-1.0874,-1.5069,-178.3946,-118.8716,-88.7480,90.00
1741592885.956,1.8711,-1.0853,-1.5073,5.0281,62.5587,85.7597,-90.00
1741592927.915,2.2386,-1.0898,-3.1131,179.4498,120.9588,-88.7571,-30.00
1741592963.411,2.2422,-1.0900,-3.1119,1.7533,-58.9370,90.7680,150.00
1741592985.699,1.6614,-1.1090,-4.2615,-179.0449,121.6395,-90.2004,-30.00
1741593018.507,1.5929,-1.1083,-4.0955,1.5012,62.1662,89.7642,-90.00
1741593042.626,1.5882,-1.1089,-4.0947,179.6853,152.2700,-89.5652,0.00
1741593061.698,1.5886,-1.1090,-4.0959,0.9822,-26.5539,90.0061,-180.00
1741593074.602,1.5947,-1.1103,-4.0983,179.7136,-117.6448,-91.1253,90.00
