point_index,error,original_x,original_y,original_z,target_x,target_y,target_z,transformed_x,transformed_y,transformed_z,exceeds_threshold
2012,0.027459060435492018,1.1858,0,-3.1171,1.076,0,-2.089,1.091,0.0,-2.066,0
2013,0.024698178070457103,1.1783,0,-3.1133,1.091,0,-2.089,1.1,0.0,-2.066,0
2014,0.026419689627245987,1.1696,0,-3.1087,1.097,0,-2.089,1.11,0.0,-2.066,0
2015,0.028017851452243916,1.1597,0,-3.1036,1.105,0,-2.089,1.121,0.0,-2.066,0
2016,0.0353836120259083,1.1503,0,-3.0989,1.105,0,-2.09,1.131,0.0,-2.066,0
2017,0.032557641192199595,1.1416,0,-3.0948,1.117,0,-2.087,1.141,0.0,-2.065,0
2018,0.031240998703626646,1.1336,0,-3.0909,1.13,0,-2.089,1.15,0.0,-2.065,0
2019,0.0268328157299975,1.1268,0,-3.0873,1.146,0,-2.089,1.158,0.0,-2.065,0
2020,0.019646882704388653,1.1218,0,-3.0848,1.158,0,-2.084,1.163,0.0,-2.065,0
2021,0.023769728648009553,1.121,0,-3.0843,1.158,0,-2.088,1.164,0.0,-2.065,0
2022,0.024020824298928645,1.1211,0,-3.0843,1.163,0,-2.089,1.164,0.0,-2.065,0
2023,0.020615528128088347,1.121,0,-3.0842,1.169,0,-2.085,1.164,0.0,-2.065,0
2024,0.020615528128088347,1.121,0,-3.0842,1.169,0,-2.085,1.164,0.0,-2.065,0
2025,0.023769728648009553,1.121,0,-3.0842,1.17,0,-2.088,1.164,0.0,-2.065,0
2026,0.021840329667841468,1.121,0,-3.0842,1.17,0,-2.086,1.164,0.0,-2.065,0
2027,0.023769728648009553,1.121,0,-3.0843,1.17,0,-2.088,1.164,0.0,-2.065,0
2028,0.018973665961010504,1.121,0,-3.0843,1.17,0,-2.083,1.164,0.0,-2.065,0
2029,0.01802775637732019,1.1214,0,-3.0844,1.165,0,-2.083,1.164,0.0,-2.065,0
2030,0.022203603311174772,1.1224,0,-3.085,1.165,0,-2.087,1.162,0.0,-2.065,0
2031,0.023769728648009553,1.1253,0,-3.0861,1.165,0,-2.088,1.159,0.0,-2.065,0
2032,0.023259406699225937,1.1301,0,-3.0889,1.164,0,-2.086,1.154,0.0,-2.065,0
2033,0.029832867780352636,1.1361,0,-3.0919,1.166,0,-2.088,1.147,0.0,-2.065,0
2034,0.02720294101747109,1.1432,0,-3.0952,1.155,0,-2.088,1.139,0.0,-2.066,0
2035,0.02969848480983518,1.1503,0,-3.0986,1.152,0,-2.087,1.131,0.0,-2.066,0
2036,0.03580502757993645,1.1577,0,-3.1025,1.152,0,-2.087,1.123,0.0,-2.066,0
2037,0.03499999999999997,1.1655,0,-3.1058,1.143,0,-2.088,1.115,0.0,-2.067,0
2038,0.03182766092567921,1.174,0,-3.1106,1.127,0,-2.089,1.105,0.0,-2.066,0
2039,0.036235341863986976,1.1834,0,-3.1154,1.122,0,-2.089,1.094,0.0,-2.066,0
