2025-04-01 17:28:07,709 - Timestamp, Before_X, Before_Y, Before_Z, Before_Yaw_Deg, After_X, After_Y, After_Z, After_Yaw_Deg
2025-04-01 17:28:07,757 - 2025-04-01T17:28:07.757962, 0.15436554088785615, 0.0, -1.8536647035916403, -179.66591631138073, -47.31252707354197, -12.301433564281524, 0.0016000000400000006, 269.6659163113807
2025-04-01 17:32:32,058 - 2025-04-01T17:32:32.058118, 0.15506947333901477, 0.0, -1.8588670568191916, -179.58001631135022, -47.28442576468691, -12.131659994491676, 0.0016000000400000006, 269.5800163113502
2025-04-01 17:32:32,098 - 2025-04-01T17:32:32.098373, 0.15570658415528182, 0.0, -1.8641438067476788, -179.60391631135872, -47.258441835472794, -11.959384119285662, 0.0016000000400000006, 269.6039163113587
2025-04-01 17:32:32,138 - 2025-04-01T17:32:32.138270, 0.15429008234101227, 0.0, -1.874700014523683, -179.28091631124394, -47.29463291890618, -11.612138464201395, 0.0016000000400000006, 269.28091631124397
2025-04-01 17:32:32,158 - 2025-04-01T17:32:32.158034, 0.1529742156133178, 0.0, -1.8818518321076927, -179.00171631114475, -47.33082285083076, -11.376535102039805, 0.0016000000400000006, 269.0017163111447
2025-04-01 17:32:32,178 - 2025-04-01T17:32:32.178169, 0.15247671259593298, 0.0, -1.8897386876755151, -178.61951631100897, -47.33948742317709, -11.11764056382753, 0.0016000000400000006, 268.61951631100897
2025-04-01 17:32:32,198 - 2025-04-01T17:32:32.198349, 0.15062898070813047, 0.0, -1.9001764023138255, -178.26901631088444, -47.38992248755723, -10.773859816474744, 0.0016000000400000006, 268.26901631088447
2025-04-01 17:32:32,219 - 2025-04-01T17:32:32.219127, 0.15115166026524607, 0.0, -1.9099204674860506, -177.7114163106863, -47.3633626090663, -10.455101547529592, 0.0016000000400000006, 267.71141631068633
2025-04-01 17:32:32,238 - 2025-04-01T17:32:32.237992, 0.15065821912640454, 0.0, -1.9218434082240772, -177.16011631049034, -47.36798632440431, -10.063968596524948, 0.0016000000400000006, 267.16011631049037
2025-04-01 17:32:32,258 - 2025-04-01T17:32:32.258151, 0.14901230610279237, 0.0, -1.9334032944829773, -176.75401631034603, -47.41072229752543, -9.683615294489977, 0.0016000000400000006, 266.75401631034606
2025-04-01 17:32:32,278 - 2025-04-01T17:32:32.278595, 0.15075834105811348, 0.0, -1.9474721026035968, -176.47501631024682, -47.33989192460211, -9.224341269198966, 0.0016000000400000006, 266.4750163102468
2025-04-01 17:32:32,298 - 2025-04-01T17:32:32.298143, 0.15322561782467137, 0.0, -1.9617854720656487, -176.27151631017443, -47.24519327484245, -8.757752502669767, 0.0016000000400000006, 266.27151631017443
2025-04-01 17:32:32,318 - 2025-04-01T17:32:32.318461, 0.15511422507533634, 0.0, -1.977192066843624, -176.1204163101207, -47.16839626452583, -8.254783932223207, 0.0016000000400000006, 266.12041631012073
2025-04-01 17:32:32,338 - 2025-04-01T17:32:32.338155, 0.15560579909979788, 0.0, -1.9929568489537097, -175.98901631007396, -47.13702625323053, -7.738726733909976, 0.0016000000400000006, 265.98901631007396
2025-04-01 17:32:32,358 - 2025-04-01T17:32:32.358124, 0.15506474833669692, 0.0, -2.009272708234536, -175.8924163100396, -47.13895663965075, -7.203613694582437, 0.0016000000400000006, 265.8924163100396
2025-04-01 17:32:32,378 - 2025-04-01T17:32:32.378489, 0.15369911275675552, 0.0, -2.026057672919123, -175.8614163100286, -47.167450359088335, -6.652332045431924, 0.0016000000400000006, 265.86141631002863
2025-04-01 17:32:32,398 - 2025-04-01T17:32:32.398104, 0.1524671204465986, 0.0, -2.0426938442018336, -176.00601631008, -47.191709319243955, -6.106055007113871, 0.0016000000400000006, 266.00601631008
2025-04-01 17:32:32,418 - 2025-04-01T17:32:32.418106, 0.15125785333457697, 0.0, -2.0597536704920336, -176.2412163101637, -47.214813502073895, -5.545918913624243, 0.0016000000400000006, 266.24121631016374
2025-04-01 17:32:32,438 - 2025-04-01T17:32:32.438853, 0.15088832117148643, 0.0, -2.0766268280501325, -176.5470163102724, -47.210584500336005, -4.992712059843215, 0.0016000000400000006, 266.5470163102724
2025-04-01 17:32:32,458 - 2025-04-01T17:32:32.458782, 0.15052636407444053, 0.0, -2.093641203944061, -176.8516163103807, -47.20597057282289, -4.4348855210049996, 0.0016000000400000006, 266.8516163103807
2025-04-01 17:32:32,478 - 2025-04-01T17:32:32.478293, 0.14957680843594234, 0.0, -2.110262225094682, -177.14231631048403, -47.22099016286417, -3.8893783342373887, 0.0016000000400000006, 267.14231631048403
