Timestamp, Distance_2(Z), Distance_3(X), X, Y, Z, Roll, Yaw, Pitch, CalibrationMode, IsValid
1745406944.698, 2.308, 2.505, -0.9705, -1.1423, -3.5955, 0.2542, 39.6553, 89.9599, 0, 1
1745406944.777, 2.309, 2.505, -0.9706, -1.1424, -3.5954, 0.2535, 39.6559, 89.9581, 0, 1
1745406944.857, 2.309, 2.503, -0.9706, -1.1423, -3.5954, 0.2614, 39.6551, 89.9501, 0, 1
1745406944.936, 2.309, 2.501, -0.9705, -1.1424, -3.5954, 0.2646, 39.6592, 89.9516, 0, 1
1745406945.016, 2.309, 2.500, -0.9705, -1.1423, -3.5954, 0.2792, 39.6618, 89.9417, 0, 1
1745406945.096, 2.309, 2.500, -0.9704, -1.1423, -3.5955, 0.2987, 39.6717, 89.9293, 0, 1
1745406945.175, 2.309, 2.500, -0.9695, -1.1423, -3.5965, 0.3174, 39.6801, 89.9270, 0, 1
1745406945.255, 2.308, 2.500, -0.9671, -1.1423, -3.5995, 0.3489, 39.6907, 89.9239, 0, 1
1745406945.335, 2.309, 2.502, -0.9624, -1.1422, -3.6052, 0.3950, 39.6988, 89.9127, 0, 1
1745406945.414, 2.309, 2.507, -0.9553, -1.1421, -3.6137, 0.4524, 39.7231, 89.9057, 0, 1
1745406945.494, 2.309, 2.515, -0.9462, -1.1421, -3.6248, 0.4973, 39.7629, 89.8966, 0, 1
1745406945.573, 2.309, 2.523, -0.9357, -1.1420, -3.6374, 0.5493, 39.8383, 89.8616, 0, 1
1745406945.653, 2.309, 2.537, -0.9252, -1.1419, -3.6499, 0.5796, 39.9166, 89.8304, 0, 1
1745406945.733, 2.308, 2.553, -0.9153, -1.1418, -3.6615, 0.5850, 39.9879, 89.8105, 0, 1
1745406945.812, 2.309, 2.569, -0.9065, -1.1417, -3.6718, 0.5757, 40.0415, 89.8008, 0, 1
1745406945.892, 2.309, 2.582, -0.8984, -1.1416, -3.6812, 0.5790, 40.0920, 89.8065, 0, 1
1745406945.971, 2.309, 2.595, -0.8906, -1.1416, -3.6902, 0.5847, 40.1202, 89.8162, 0, 1
1745406946.051, 2.309, 2.606, -0.8827, -1.1416, -3.6993, 0.5802, 40.1677, 89.8480, 0, 1
1745406946.131, 2.309, 2.616, -0.8748, -1.1414, -3.7084, 0.6005, 40.2335, 89.8626, 0, 1
1745406946.210, 2.308, 2.628, -0.8671, -1.1414, -3.7174, 0.6151, 40.3063, 89.8702, 0, 1
1745406946.290, 2.308, 2.641, -0.8599, -1.1414, -3.7257, 0.6053, 40.3643, 89.8682, 0, 1
