point_index,error,original_x,original_y,original_z,target_x,target_y,target_z,transformed_x,transformed_y,transformed_z,exceeds_threshold
0,2.03244188108787,0.1728,0,5.8754,0.199,0,-0.426,1.657,0.0,-1.842,1
1,2.03244188108787,0.1728,0,5.8754,0.199,0,-0.426,1.657,0.0,-1.842,1
2,2.03244188108787,0.1728,0,5.8754,0.199,0,-0.426,1.657,0.0,-1.842,1
3,2.0338559437678962,0.1728,0,5.8754,0.198,0,-0.425,1.657,0.0,-1.842,1
4,2.033159364142418,0.1728,0,5.8754,0.198,0,-0.426,1.657,0.0,-1.842,1
5,2.03244188108787,0.1728,0,5.8754,0.199,0,-0.426,1.657,0.0,-1.842,1
6,2.03244188108787,0.1728,0,5.8754,0.199,0,-0.426,1.657,0.0,-1.842,1
7,2.033159364142418,0.1728,0,5.8754,0.198,0,-0.426,1.657,0.0,-1.842,1
8,2.033159364142418,0.1728,0,5.8754,0.198,0,-0.426,1.657,0.0,-1.842,1
9,2.03244188108787,0.1728,0,5.8754,0.199,0,-0.426,1.657,0.0,-1.842,1
10,2.031724636854119,0.1728,0,5.8754,0.2,0,-0.426,1.657,0.0,-1.842,1
11,2.031724636854119,0.1728,0,5.8754,0.2,0,-0.426,1.657,0.0,-1.842,1
12,2.0338559437678962,0.1728,0,5.8754,0.198,0,-0.425,1.657,0.0,-1.842,1
13,2.03244188108787,0.1728,0,5.8754,0.199,0,-0.426,1.657,0.0,-1.842,1
14,2.03244188108787,0.1728,0,5.8754,0.199,0,-0.426,1.657,0.0,-1.842,1
15,2.0338559437678962,0.1728,0,5.8754,0.198,0,-0.425,1.657,0.0,-1.842,1
16,2.0338559437678962,0.1728,0,5.8754,0.198,0,-0.425,1.657,0.0,-1.842,1
17,2.03244188108787,0.1728,0,5.8754,0.199,0,-0.426,1.657,0.0,-1.842,1
18,2.0331387065323407,0.1728,0,5.8754,0.199,0,-0.425,1.657,0.0,-1.842,1
19,2.0338559437678962,0.1728,0,5.8754,0.198,0,-0.425,1.657,0.0,-1.842,1
