CMDLINE ./debug_run_vehicle_ros2.sh
MEM 4.851562 1728028526.7373
MEM 4.851562 1728028526.8379
MEM 4.851562 1728028526.9385
MEM 4.851562 1728028527.0390
MEM 4.851562 1728028527.1395
MEM 4.851562 1728028527.2401
MEM 4.851562 1728028527.3408
MEM 4.851562 1728028527.4413
MEM 4.851562 1728028527.5418
MEM 4.851562 1728028527.6421
MEM 4.851562 1728028527.7425
MEM 4.851562 1728028527.8429
MEM 4.851562 1728028527.9434
MEM 4.851562 1728028528.0438
MEM 4.851562 1728028528.1441
MEM 4.851562 1728028528.2445
MEM 4.851562 1728028528.3449
MEM 4.851562 1728028528.4454
MEM 4.851562 1728028528.5458
MEM 4.851562 1728028528.6464
MEM 4.851562 1728028528.7469
MEM 4.851562 1728028528.8475
MEM 4.851562 1728028528.9481
MEM 4.851562 1728028529.0487
MEM 4.851562 1728028529.1493
MEM 4.851562 1728028529.2500
MEM 4.851562 1728028529.3505
MEM 4.851562 1728028529.4510
MEM 4.851562 1728028529.5515
MEM 4.851562 1728028529.6520
MEM 4.851562 1728028529.7525
MEM 4.851562 1728028529.8531
MEM 4.851562 1728028529.9537
MEM 4.851562 1728028530.0543
MEM 4.851562 1728028530.1549
MEM 4.851562 1728028530.2555
MEM 4.851562 1728028530.3560
MEM 4.851562 1728028530.4566
MEM 4.851562 1728028530.5573
MEM 4.851562 1728028530.6579
MEM 4.851562 1728028530.7585
MEM 4.851562 1728028530.8591
MEM 4.851562 1728028530.9597
MEM 4.851562 1728028531.0602
MEM 4.851562 1728028531.1607
MEM 4.851562 1728028531.2612
MEM 4.851562 1728028531.3616
MEM 4.851562 1728028531.4622
MEM 4.851562 1728028531.5627
MEM 4.851562 1728028531.6633
MEM 4.851562 1728028531.7638
MEM 4.851562 1728028531.8644
MEM 4.851562 1728028531.9647
MEM 4.851562 1728028532.0652
MEM 4.851562 1728028532.1657
MEM 4.851562 1728028532.2662
MEM 4.851562 1728028532.3667
MEM 4.851562 1728028532.4672
MEM 4.851562 1728028532.5678
MEM 4.851562 1728028532.6684
MEM 4.851562 1728028532.7690
MEM 4.851562 1728028532.8696
MEM 4.851562 1728028532.9702
MEM 4.851562 1728028533.0708
MEM 4.851562 1728028533.1713
MEM 4.851562 1728028533.2717
MEM 4.851562 1728028533.3721
MEM 4.851562 1728028533.4726
MEM 4.851562 1728028533.5730
MEM 4.851562 1728028533.6735
MEM 4.851562 1728028533.7741
MEM 4.851562 1728028533.8747
MEM 4.851562 1728028533.9752
MEM 4.851562 1728028534.0757
MEM 4.851562 1728028534.1761
MEM 4.851562 1728028534.2765
MEM 4.851562 1728028534.3770
MEM 4.851562 1728028534.4773
MEM 4.851562 1728028534.5778
MEM 4.851562 1728028534.6782
MEM 4.851562 1728028534.7787
MEM 4.851562 1728028534.8792
MEM 4.851562 1728028534.9797
MEM 4.851562 1728028535.0802
MEM 4.851562 1728028535.1807
MEM 4.851562 1728028535.2811
MEM 4.851562 1728028535.3816
MEM 4.851562 1728028535.4821
MEM 4.851562 1728028535.5826
MEM 4.851562 1728028535.6831
MEM 4.851562 1728028535.7835
MEM 4.851562 1728028535.8838
MEM 4.851562 1728028535.9842
MEM 4.851562 1728028536.0847
MEM 4.851562 1728028536.1851
MEM 4.851562 1728028536.2855
MEM 4.851562 1728028536.3860
MEM 4.851562 1728028536.4864
MEM 4.851562 1728028536.5868
MEM 4.851562 1728028536.6873
MEM 4.851562 1728028536.7878
MEM 4.851562 1728028536.8883
MEM 4.851562 1728028536.9887
MEM 4.851562 1728028537.0892
MEM 4.851562 1728028537.1897
MEM 4.851562 1728028537.2903
MEM 4.851562 1728028537.3905
MEM 4.851562 1728028537.4909
MEM 4.851562 1728028537.5914
MEM 4.851562 1728028537.6918
MEM 4.851562 1728028537.7923
MEM 4.851562 1728028537.8927
MEM 4.851562 1728028537.9932
MEM 4.851562 1728028538.0936
MEM 4.851562 1728028538.1941
MEM 4.851562 1728028538.2946
MEM 4.851562 1728028538.3952
MEM 4.851562 1728028538.4954
MEM 4.851562 1728028538.5959
MEM 4.851562 1728028538.6964
MEM 4.851562 1728028538.7969
MEM 4.851562 1728028538.8973
MEM 4.851562 1728028538.9979
MEM 4.851562 1728028539.0983
MEM 4.851562 1728028539.1988
MEM 4.851562 1728028539.2993
MEM 4.851562 1728028539.3997
MEM 4.851562 1728028539.5002
MEM 4.851562 1728028539.6006
MEM 4.851562 1728028539.7011
MEM 4.851562 1728028539.8015
MEM 4.851562 1728028539.9019
MEM 4.851562 1728028540.0024
MEM 4.851562 1728028540.1026
MEM 4.851562 1728028540.2029
MEM 4.851562 1728028540.3032
MEM 4.851562 1728028540.4034
MEM 4.851562 1728028540.5037
