CMDLINE ./debug_run_vehicle_ros2.sh
MEM 0.625000 1728028494.7045
MEM 3.742188 1728028494.8047
MEM 3.742188 1728028494.9049
MEM 4.539062 1728028495.0052
MEM 4.695312 1728028495.1055
MEM 4.695312 1728028495.2058
MEM 4.695312 1728028495.3060
MEM 4.695312 1728028495.4062
MEM 4.695312 1728028495.5065
MEM 4.695312 1728028495.6067
MEM 4.695312 1728028495.7070
MEM 4.695312 1728028495.8072
MEM 4.695312 1728028495.9075
MEM 4.695312 1728028496.0077
MEM 4.695312 1728028496.1080
MEM 4.695312 1728028496.2082
MEM 4.695312 1728028496.3085
MEM 4.695312 1728028496.4089
MEM 4.695312 1728028496.5094
MEM 4.695312 1728028496.6097
MEM 4.695312 1728028496.7102
MEM 4.695312 1728028496.8105
MEM 4.695312 1728028496.9110
MEM 4.695312 1728028497.0114
MEM 4.695312 1728028497.1119
MEM 4.695312 1728028497.2124
MEM 4.695312 1728028497.3129
MEM 4.695312 1728028497.4135
MEM 4.695312 1728028497.5140
MEM 4.695312 1728028497.6143
MEM 4.695312 1728028497.7147
MEM 4.695312 1728028497.8152
MEM 4.695312 1728028497.9157
MEM 4.695312 1728028498.0162
MEM 4.695312 1728028498.1167
MEM 4.695312 1728028498.2172
MEM 4.695312 1728028498.3176
MEM 4.695312 1728028498.4182
MEM 4.695312 1728028498.5187
MEM 4.695312 1728028498.6192
MEM 4.695312 1728028498.7197
MEM 4.695312 1728028498.8201
MEM 4.695312 1728028498.9206
MEM 4.695312 1728028499.0212
MEM 4.695312 1728028499.1217
MEM 4.695312 1728028499.2222
MEM 4.695312 1728028499.3226
MEM 4.695312 1728028499.4231
MEM 4.695312 1728028499.5234
MEM 4.695312 1728028499.6237
MEM 4.695312 1728028499.7239
MEM 4.695312 1728028499.8242
MEM 4.695312 1728028499.9245
MEM 4.695312 1728028500.0247
MEM 4.695312 1728028500.1249
MEM 4.695312 1728028500.2252
MEM 4.695312 1728028500.3255
MEM 4.695312 1728028500.4258
MEM 4.695312 1728028500.5262
MEM 4.695312 1728028500.6267
MEM 4.695312 1728028500.7271
MEM 4.695312 1728028500.8274
MEM 4.851562 1728028500.9277
MEM 4.851562 1728028501.0280
MEM 4.851562 1728028501.1282
MEM 4.851562 1728028501.2284
MEM 4.851562 1728028501.3287
MEM 4.851562 1728028501.4289
MEM 4.851562 1728028501.5292
MEM 4.851562 1728028501.6294
MEM 4.851562 1728028501.7297
MEM 4.851562 1728028501.8299
MEM 4.851562 1728028501.9302
MEM 4.851562 1728028502.0304
MEM 4.851562 1728028502.1306
MEM 4.851562 1728028502.2309
MEM 4.851562 1728028502.3311
MEM 4.851562 1728028502.4314
MEM 4.851562 1728028502.5316
MEM 4.851562 1728028502.6319
MEM 4.851562 1728028502.7321
MEM 4.851562 1728028502.8323
MEM 4.851562 1728028502.9325
MEM 4.851562 1728028503.0327
MEM 4.851562 1728028503.1330
MEM 4.851562 1728028503.2332
MEM 4.851562 1728028503.3334
MEM 4.851562 1728028503.4336
MEM 4.851562 1728028503.5338
MEM 4.851562 1728028503.6340
MEM 4.851562 1728028503.7342
MEM 4.851562 1728028503.8344
MEM 4.851562 1728028503.9346
MEM 4.851562 1728028504.0348
MEM 4.851562 1728028504.1350
MEM 4.851562 1728028504.2352
MEM 4.851562 1728028504.3354
MEM 4.851562 1728028504.4356
MEM 4.851562 1728028504.5358
MEM 4.851562 1728028504.6361
MEM 4.851562 1728028504.7363
MEM 4.851562 1728028504.8365
MEM 4.851562 1728028504.9367
MEM 4.851562 1728028505.0369
MEM 4.851562 1728028505.1372
MEM 4.851562 1728028505.2374
MEM 4.851562 1728028505.3379
MEM 4.851562 1728028505.4384
MEM 4.851562 1728028505.5389
MEM 4.851562 1728028505.6394
MEM 4.851562 1728028505.7399
MEM 4.851562 1728028505.8404
MEM 4.851562 1728028505.9410
MEM 4.851562 1728028506.0412
MEM 4.851562 1728028506.1415
MEM 4.851562 1728028506.2417
MEM 4.851562 1728028506.3420
MEM 4.851562 1728028506.4423
MEM 4.851562 1728028506.5427
MEM 4.851562 1728028506.6432
MEM 4.851562 1728028506.7437
MEM 4.851562 1728028506.8442
MEM 4.851562 1728028506.9447
MEM 4.851562 1728028507.0452
MEM 4.851562 1728028507.1457
MEM 4.851562 1728028507.2462
MEM 4.851562 1728028507.3468
MEM 4.851562 1728028507.4474
MEM 4.851562 1728028507.5479
MEM 4.851562 1728028507.6483
MEM 4.851562 1728028507.7488
MEM 4.851562 1728028507.8493
MEM 4.851562 1728028507.9498
MEM 4.851562 1728028508.0502
MEM 4.851562 1728028508.1507
MEM 4.851562 1728028508.2512
MEM 4.851562 1728028508.3517
MEM 4.851562 1728028508.4523
MEM 4.851562 1728028508.5526
MEM 4.851562 1728028508.6531
MEM 4.851562 1728028508.7536
MEM 4.851562 1728028508.8542
MEM 4.851562 1728028508.9547
MEM 4.851562 1728028509.0553
MEM 4.851562 1728028509.1558
MEM 4.851562 1728028509.2564
MEM 4.851562 1728028509.3569
MEM 4.851562 1728028509.4574
MEM 4.851562 1728028509.5578
MEM 4.851562 1728028509.6583
MEM 4.851562 1728028509.7587
MEM 4.851562 1728028509.8592
MEM 4.851562 1728028509.9598
MEM 4.851562 1728028510.0604
MEM 4.851562 1728028510.1608
MEM 4.851562 1728028510.2613
MEM 4.851562 1728028510.3618
MEM 4.851562 1728028510.4623
MEM 4.851562 1728028510.5627
MEM 4.851562 1728028510.6630
MEM 4.851562 1728028510.7635
MEM 4.851562 1728028510.8641
MEM 4.851562 1728028510.9646
MEM 4.851562 1728028511.0652
MEM 4.851562 1728028511.1658
MEM 4.851562 1728028511.2663
MEM 4.851562 1728028511.3668
MEM 4.851562 1728028511.4673
MEM 4.851562 1728028511.5679
MEM 4.851562 1728028511.6684
MEM 4.851562 1728028511.7688
MEM 4.851562 1728028511.8693
MEM 4.851562 1728028511.9697
MEM 4.851562 1728028512.0703
MEM 4.851562 1728028512.1708
MEM 4.851562 1728028512.2713
MEM 4.851562 1728028512.3718
MEM 4.851562 1728028512.4723
MEM 4.851562 1728028512.5728
MEM 4.851562 1728028512.6732
MEM 4.851562 1728028512.7737
MEM 4.851562 1728028512.8741
MEM 4.851562 1728028512.9744
MEM 4.851562 1728028513.0746
MEM 4.851562 1728028513.1749
MEM 4.851562 1728028513.2754
MEM 4.851562 1728028513.3758
MEM 4.851562 1728028513.4761
MEM 4.851562 1728028513.5765
MEM 4.851562 1728028513.6770
MEM 4.851562 1728028513.7775
MEM 4.851562 1728028513.8779
MEM 4.851562 1728028513.9783
MEM 4.851562 1728028514.0787
MEM 4.851562 1728028514.1792
MEM 4.851562 1728028514.2796
MEM 4.851562 1728028514.3801
MEM 4.851562 1728028514.4806
MEM 4.851562 1728028514.5810
MEM 4.851562 1728028514.6814
MEM 4.851562 1728028514.7818
MEM 4.851562 1728028514.8823
MEM 4.851562 1728028514.9828
MEM 4.851562 1728028515.0833
MEM 4.851562 1728028515.1840
MEM 4.851562 1728028515.2845
MEM 4.851562 1728028515.3850
MEM 4.851562 1728028515.4855
MEM 4.851562 1728028515.5861
MEM 4.851562 1728028515.6866
MEM 4.851562 1728028515.7871
MEM 4.851562 1728028515.8874
MEM 4.851562 1728028515.9878
MEM 4.851562 1728028516.0883
MEM 4.851562 1728028516.1888
MEM 4.851562 1728028516.2892
MEM 4.851562 1728028516.3897
MEM 4.851562 1728028516.4902
MEM 4.851562 1728028516.5906
MEM 4.851562 1728028516.6910
MEM 4.851562 1728028516.7914
MEM 4.851562 1728028516.8918
MEM 4.851562 1728028516.9922
MEM 4.851562 1728028517.0926
MEM 4.851562 1728028517.1931
MEM 4.851562 1728028517.2934
MEM 4.851562 1728028517.3939
MEM 4.851562 1728028517.4944
MEM 4.851562 1728028517.5949
MEM 4.851562 1728028517.6953
MEM 4.851562 1728028517.7958
MEM 4.851562 1728028517.8965
MEM 4.851562 1728028517.9971
MEM 4.851562 1728028518.0974
MEM 4.851562 1728028518.1977
MEM 4.851562 1728028518.2979
MEM 4.851562 1728028518.3982
MEM 4.851562 1728028518.4984
MEM 4.851562 1728028518.5987
MEM 4.851562 1728028518.6989
MEM 4.851562 1728028518.7992
MEM 4.851562 1728028518.8994
MEM 4.851562 1728028518.9999
MEM 4.851562 1728028519.1003
MEM 4.851562 1728028519.2008
MEM 4.851562 1728028519.3013
MEM 4.851562 1728028519.4018
MEM 4.851562 1728028519.5022
MEM 4.851562 1728028519.6027
MEM 4.851562 1728028519.7031
MEM 4.851562 1728028519.8036
MEM 4.851562 1728028519.9041
MEM 4.851562 1728028520.0046
MEM 4.851562 1728028520.1050
MEM 4.851562 1728028520.2056
MEM 4.851562 1728028520.3062
MEM 4.851562 1728028520.4067
MEM 4.851562 1728028520.5072
MEM 4.851562 1728028520.6078
MEM 4.851562 1728028520.7084
MEM 4.851562 1728028520.8088
MEM 4.851562 1728028520.9092
MEM 4.851562 1728028521.0098
MEM 4.851562 1728028521.1103
MEM 4.851562 1728028521.2107
MEM 4.851562 1728028521.3112
MEM 4.851562 1728028521.4118
MEM 4.851562 1728028521.5123
MEM 4.851562 1728028521.6129
MEM 4.851562 1728028521.7134
MEM 4.851562 1728028521.8139
MEM 4.851562 1728028521.9144
MEM 4.851562 1728028522.0149
MEM 4.851562 1728028522.1153
MEM 4.851562 1728028522.2159
MEM 4.851562 1728028522.3162
MEM 4.851562 1728028522.4165
MEM 4.851562 1728028522.5170
MEM 4.851562 1728028522.6175
MEM 4.851562 1728028522.7181
MEM 4.851562 1728028522.8185
MEM 4.851562 1728028522.9190
MEM 4.851562 1728028523.0195
MEM 4.851562 1728028523.1200
MEM 4.851562 1728028523.2204
MEM 4.851562 1728028523.3208
MEM 4.851562 1728028523.4213
MEM 4.851562 1728028523.5218
MEM 4.851562 1728028523.6222
MEM 4.851562 1728028523.7227
MEM 4.851562 1728028523.8232
MEM 4.851562 1728028523.9237
MEM 4.851562 1728028524.0243
MEM 4.851562 1728028524.1249
MEM 4.851562 1728028524.2254
MEM 4.851562 1728028524.3257
MEM 4.851562 1728028524.4263
MEM 4.851562 1728028524.5268
MEM 4.851562 1728028524.6272
MEM 4.851562 1728028524.7277
MEM 4.851562 1728028524.8280
MEM 4.851562 1728028524.9284
MEM 4.851562 1728028525.0289
MEM 4.851562 1728028525.1293
MEM 4.851562 1728028525.2298
MEM 4.851562 1728028525.3301
MEM 4.851562 1728028525.4307
MEM 4.851562 1728028525.5312
MEM 4.851562 1728028525.6318
MEM 4.851562 1728028525.7323
MEM 4.851562 1728028525.8328
MEM 4.851562 1728028525.9333
MEM 4.851562 1728028526.0338
MEM 4.851562 1728028526.1342
MEM 4.851562 1728028526.2347
MEM 4.851562 1728028526.3351
MEM 4.851562 1728028526.4356
MEM 4.851562 1728028526.5361
MEM 4.851562 1728028526.6367
