CMDLINE ./debug_run_vehicle_ros2.sh
MEM 4.875000 1728030273.0213
MEM 4.875000 1728030273.1218
MEM 4.875000 1728030273.2223
MEM 4.875000 1728030273.3228
MEM 4.875000 1728030273.4230
MEM 4.875000 1728030273.5233
MEM 4.875000 1728030273.6238
MEM 4.875000 1728030273.7243
MEM 4.875000 1728030273.8247
MEM 4.875000 1728030273.9252
MEM 4.875000 1728030274.0257
MEM 4.875000 1728030274.1262
MEM 4.875000 1728030274.2266
MEM 4.875000 1728030274.3271
MEM 4.875000 1728030274.4276
MEM 4.875000 1728030274.5282
MEM 4.875000 1728030274.6288
MEM 4.875000 1728030274.7293
MEM 4.875000 1728030274.8298
MEM 4.875000 1728030274.9300
MEM 4.875000 1728030275.0305
MEM 4.875000 1728030275.1310
MEM 4.875000 1728030275.2313
MEM 4.875000 1728030275.3317
MEM 4.875000 1728030275.4322
MEM 4.875000 1728030275.5327
MEM 4.875000 1728030275.6331
MEM 4.875000 1728030275.7336
MEM 4.875000 1728030275.8341
MEM 4.875000 1728030275.9346
MEM 4.875000 1728030276.0350
MEM 4.875000 1728030276.1355
MEM 4.875000 1728030276.2360
MEM 4.875000 1728030276.3365
MEM 4.875000 1728030276.4369
MEM 4.875000 1728030276.5375
MEM 4.875000 1728030276.6380
MEM 4.875000 1728030276.7385
MEM 4.875000 1728030276.8389
MEM 4.875000 1728030276.9393
MEM 4.875000 1728030277.0396
MEM 4.875000 1728030277.1401
MEM 4.875000 1728030277.2406
MEM 4.875000 1728030277.3411
MEM 4.875000 1728030277.4415
MEM 4.875000 1728030277.5420
MEM 4.875000 1728030277.6425
MEM 4.875000 1728030277.7430
MEM 4.875000 1728030277.8435
MEM 4.875000 1728030277.9440
MEM 4.875000 1728030278.0445
MEM 4.875000 1728030278.1448
MEM 4.875000 1728030278.2455
MEM 4.875000 1728030278.3460
MEM 4.875000 1728030278.4464
MEM 4.875000 1728030278.5469
MEM 4.875000 1728030278.6473
MEM 4.875000 1728030278.7476
MEM 4.875000 1728030278.8479
MEM 4.875000 1728030278.9482
MEM 4.875000 1728030279.0484
MEM 4.875000 1728030279.1487
MEM 4.875000 1728030279.2490
MEM 4.875000 1728030279.3492
MEM 4.875000 1728030279.4495
MEM 4.875000 1728030279.5497
MEM 4.875000 1728030279.6500
MEM 4.875000 1728030279.7502
MEM 4.875000 1728030279.8505
MEM 4.875000 1728030279.9507
MEM 4.875000 1728030280.0510
MEM 4.875000 1728030280.1513
MEM 4.875000 1728030280.2516
MEM 4.875000 1728030280.3518
MEM 4.875000 1728030280.4521
MEM 4.875000 1728030280.5523
MEM 4.875000 1728030280.6526
MEM 4.875000 1728030280.7528
MEM 4.875000 1728030280.8531
MEM 4.875000 1728030280.9534
MEM 4.875000 1728030281.0536
MEM 4.875000 1728030281.1539
MEM 4.875000 1728030281.2541
MEM 4.875000 1728030281.3543
MEM 4.875000 1728030281.4546
MEM 4.875000 1728030281.5548
MEM 4.875000 1728030281.6551
MEM 4.875000 1728030281.7553
MEM 4.875000 1728030281.8556
MEM 4.875000 1728030281.9558
MEM 4.875000 1728030282.0561
MEM 4.875000 1728030282.1563
MEM 4.875000 1728030282.2566
MEM 4.875000 1728030282.3568
MEM 4.875000 1728030282.4571
MEM 4.875000 1728030282.5573
MEM 4.875000 1728030282.6576
MEM 4.875000 1728030282.7579
MEM 4.875000 1728030282.8581
MEM 4.875000 1728030282.9584
MEM 4.875000 1728030283.0586
MEM 4.875000 1728030283.1589
MEM 4.875000 1728030283.2592
MEM 4.875000 1728030283.3594
MEM 4.875000 1728030283.4597
MEM 4.875000 1728030283.5600
MEM 4.875000 1728030283.6602
MEM 4.875000 1728030283.7605
MEM 4.875000 1728030283.8608
MEM 4.875000 1728030283.9610
MEM 4.875000 1728030284.0613
MEM 4.875000 1728030284.1615
MEM 4.875000 1728030284.2618
MEM 4.875000 1728030284.3620
MEM 4.875000 1728030284.4623
MEM 4.875000 1728030284.5625
MEM 4.875000 1728030284.6628
MEM 4.875000 1728030284.7630
MEM 4.875000 1728030284.8633
MEM 4.875000 1728030284.9636
MEM 4.875000 1728030285.0639
MEM 4.875000 1728030285.1641
MEM 4.875000 1728030285.2645
MEM 4.875000 1728030285.3647
MEM 4.875000 1728030285.4650
MEM 4.875000 1728030285.5653
MEM 4.875000 1728030285.6655
MEM 4.875000 1728030285.7658
MEM 4.875000 1728030285.8660
MEM 4.875000 1728030285.9663
MEM 4.875000 1728030286.0665
MEM 4.875000 1728030286.1668
MEM 4.875000 1728030286.2671
MEM 4.875000 1728030286.3673
MEM 4.875000 1728030286.4676
MEM 4.875000 1728030286.5679
MEM 4.875000 1728030286.6681
MEM 4.875000 1728030286.7684
MEM 4.875000 1728030286.8687
MEM 4.875000 1728030286.9689
MEM 4.875000 1728030287.0691
MEM 4.875000 1728030287.1694
MEM 4.875000 1728030287.2697
MEM 4.875000 1728030287.3699
MEM 4.875000 1728030287.4702
MEM 4.875000 1728030287.5704
MEM 4.875000 1728030287.6707
MEM 4.875000 1728030287.7710
MEM 4.875000 1728030287.8712
MEM 4.875000 1728030287.9715
MEM 4.875000 1728030288.0717
MEM 4.875000 1728030288.1720
MEM 4.875000 1728030288.2722
MEM 4.875000 1728030288.3725
MEM 4.875000 1728030288.4728
MEM 4.875000 1728030288.5731
MEM 4.875000 1728030288.6733
MEM 4.875000 1728030288.7736
MEM 4.875000 1728030288.8739
MEM 4.875000 1728030288.9742
MEM 4.875000 1728030289.0747
MEM 4.875000 1728030289.1752
