Timestamp, Distance_2(Z), Distance_3(X), X, Y, Z, Roll, Yaw, Pitch, CalibrationMode, IsValid
1745406883.630, 2.233, 3.224, -0.5501, -1.1373, -4.2071, 0.2365, 40.8622, 90.7565, 0, 1
1745406883.709, 2.233, 3.224, -0.5501, -1.1373, -4.2070, 0.2403, 40.8633, 90.7518, 0, 1
1745406883.789, 2.233, 3.225, -0.5501, -1.1373, -4.2070, 0.2430, 40.8635, 90.7518, 0, 1
1745406883.868, 2.233, 3.226, -0.5501, -1.1373, -4.2070, 0.2409, 40.8638, 90.7534, 0, 1
1745406883.988, 2.233, 3.226, -0.5501, -1.1373, -4.2070, 0.2413, 40.8647, 90.7531, 0, 1
1745406884.068, 2.233, 3.227, -0.5501, -1.1373, -4.2070, 0.2401, 40.8645, 90.7547, 0, 1
1745406884.147, 2.234, 3.227, -0.5501, -1.1373, -4.2070, 0.2365, 40.8635, 90.7587, 0, 1
1745406884.227, 2.234, 3.226, -0.5501, -1.1373, -4.2070, 0.2325, 40.8637, 90.7605, 0, 1
1745406884.306, 2.234, 3.225, -0.5501, -1.1373, -4.2070, 0.2305, 40.8645, 90.7603, 0, 1
1745406884.386, 2.234, 3.224, -0.5501, -1.1373, -4.2070, 0.2273, 40.8639, 90.7630, 0, 1
1745406884.466, 2.234, 3.224, -0.5501, -1.1373, -4.2070, 0.2248, 40.8633, 90.7653, 0, 1
1745406884.545, 2.234, 3.223, -0.5501, -1.1373, -4.2070, 0.2231, 40.8624, 90.7665, 0, 1
1745406884.625, 2.234, 3.223, -0.5501, -1.1373, -4.2070, 0.2199, 40.8605, 90.7710, 0, 1
1745406884.705, 2.234, 3.224, -0.5502, -1.1373, -4.2070, 0.2148, 40.8588, 90.7806, 0, 1
1745406884.784, 2.233, 3.224, -0.5502, -1.1373, -4.2070, 0.2098, 40.8572, 90.7869, 0, 1
1745406884.864, 2.234, 3.225, -0.5502, -1.1373, -4.2070, 0.2086, 40.8579, 90.7872, 0, 1
1745406884.944, 2.234, 3.225, -0.5502, -1.1373, -4.2070, 0.2060, 40.8584, 90.7896, 0, 1
1745406885.023, 2.234, 3.226, -0.5502, -1.1373, -4.2070, 0.2030, 40.8575, 90.7909, 0, 1
1745406885.103, 2.234, 3.226, -0.5501, -1.1373, -4.2070, 0.2040, 40.8550, 90.7864, 0, 1
1745406885.183, 2.234, 3.227, -0.5501, -1.1373, -4.2070, 0.2069, 40.8542, 90.7839, 0, 1
1745406885.262, 2.233, 3.227, -0.5502, -1.1372, -4.2069, 0.2071, 40.8543, 90.7829, 0, 1
1745406885.342, 2.233, 3.227, -0.5502, -1.1372, -4.2070, 0.2082, 40.8545, 90.7806, 0, 1
1745406885.421, 2.233, 3.227, -0.5501, -1.1372, -4.2070, 0.2118, 40.8551, 90.7773, 0, 1
1745406885.501, 2.233, 3.226, -0.5502, -1.1372, -4.2070, 0.2119, 40.8559, 90.7761, 0, 1
1745406885.581, 2.233, 3.226, -0.5501, -1.1372, -4.2070, 0.2108, 40.8559, 90.7730, 0, 1
1745406885.660, 2.233, 3.225, -0.5501, -1.1372, -4.2070, 0.2134, 40.8544, 90.7699, 0, 1
1745406885.740, 2.233, 3.225, -0.5501, -1.1372, -4.2070, 0.2149, 40.8540, 90.7672, 0, 1
1745406885.820, 2.233, 3.225, -0.5501, -1.1373, -4.2070, 0.2165, 40.8546, 90.7645, 0, 1
1745406885.899, 2.233, 3.225, -0.5501, -1.1373, -4.2070, 0.2203, 40.8551, 90.7624, 0, 1
1745406885.979, 2.234, 3.225, -0.5501, -1.1373, -4.2070, 0.2214, 40.8546, 90.7643, 0, 1
1745406886.059, 2.234, 3.225, -0.5501, -1.1373, -4.2071, 0.2182, 40.8545, 90.7692, 0, 1
1745406886.138, 2.234, 3.224, -0.5501, -1.1373, -4.2071, 0.2152, 40.8535, 90.7752, 0, 1
1745406886.218, 2.234, 3.224, -0.5501, -1.1373, -4.2070, 0.2096, 40.8537, 90.7808, 0, 1
1745406886.298, 2.234, 3.224, -0.5501, -1.1373, -4.2071, 0.2068, 40.8546, 90.7829, 0, 1
1745406886.377, 2.234, 3.223, -0.5501, -1.1373, -4.2071, 0.2053, 40.8572, 90.7826, 0, 1
1745406886.457, 2.234, 3.223, -0.5500, -1.1373, -4.2070, 0.2049, 40.8588, 90.7818, 0, 1
1745406886.536, 2.234, 3.224, -0.5500, -1.1373, -4.2070, 0.2060, 40.8592, 90.7816, 0, 1
1745406886.616, 2.234, 3.225, -0.5500, -1.1373, -4.2070, 0.2081, 40.8583, 90.7815, 0, 1
1745406886.696, 2.233, 3.226, -0.5504, -1.1373, -4.2066, 0.2139, 40.8657, 90.7840, 0, 1
1745406886.776, 2.233, 3.227, -0.5519, -1.1373, -4.2050, 0.2248, 40.8665, 90.7719, 0, 1
1745406886.855, 2.233, 3.226, -0.5553, -1.1374, -4.2014, 0.2653, 40.8816, 90.7335, 0, 1
1745406886.935, 2.233, 3.222, -0.5608, -1.1375, -4.1953, 0.3258, 40.8946, 90.6715, 0, 1
1745406887.014, 2.233, 3.217, -0.5688, -1.1378, -4.1865, 0.3939, 40.8693, 90.6071, 0, 1
1745406887.094, 2.232, 3.211, -0.5786, -1.1381, -4.1755, 0.4489, 40.8175, 90.5457, 0, 1
1745406887.174, 2.232, 3.199, -0.5895, -1.1385, -4.1632, 0.4851, 40.7642, 90.5182, 0, 1
