Timestamp, Distance_2(Z), Distance_3(X), X, Y, Z, Roll, Yaw, Pitch, CalibrationMode, IsValid
1745404318.492, 2.060, 3.766, -0.3385, -1.1211, -4.7392, -0.4208, 37.6807, 92.0487, 0, 1
1745404318.571, 2.060, 3.766, -0.3407, -1.1211, -4.7366, -0.3848, 37.6853, 92.0282, 0, 1
1745404318.651, 2.060, 3.765, -0.3445, -1.1213, -4.7320, -0.3497, 37.6929, 92.0245, 0, 1
1745404318.731, 2.060, 3.763, -0.3491, -1.1214, -4.7262, -0.3435, 37.6867, 92.0451, 0, 1
1745404318.810, 2.060, 3.757, -0.3539, -1.1216, -4.7202, -0.3361, 37.6892, 92.0612, 0, 1
1745404318.890, 2.061, 3.748, -0.3580, -1.1218, -4.7151, -0.3440, 37.6907, 92.0782, 0, 1
1745404318.969, 2.061, 3.740, -0.3603, -1.1220, -4.7121, -0.3767, 37.6935, 92.1135, 0, 1
1745404319.049, 2.061, 3.733, -0.3610, -1.1220, -4.7110, -0.4099, 37.6876, 92.1290, 0, 1
1745404319.129, 2.061, 3.729, -0.3609, -1.1219, -4.7112, -0.4027, 37.7163, 92.0909, 0, 1
1745404319.208, 2.062, 3.728, -0.3615, -1.1220, -4.7102, -0.4230, 37.7030, 92.1043, 0, 1
1745404319.288, 2.061, 3.728, -0.3634, -1.1220, -4.7078, -0.4101, 37.6531, 92.1085, 0, 1
1745404319.368, 2.061, 3.728, -0.3661, -1.1222, -4.7045, -0.3973, 37.5997, 92.1103, 0, 1
1745404319.447, 2.061, 3.725, -0.3691, -1.1223, -4.7007, -0.3921, 37.5515, 92.1303, 0, 1
1745404319.527, 2.062, 3.721, -0.3719, -1.1226, -4.6970, -0.3962, 37.4760, 92.1718, 0, 1
1745404319.607, 2.062, 3.716, -0.3739, -1.1227, -4.6946, -0.3758, 37.4328, 92.1624, 0, 1
1745404319.686, 2.062, 3.712, -0.3752, -1.1228, -4.6928, -0.3982, 37.4235, 92.1744, 0, 1
1745404319.766, 2.062, 3.709, -0.3767, -1.1228, -4.6907, -0.4138, 37.4045, 92.1712, 0, 1
1745404319.845, 2.063, 3.707, -0.3790, -1.1229, -4.6878, -0.4382, 37.3732, 92.1700, 0, 1
1745404319.925, 2.062, 3.704, -0.3817, -1.1231, -4.6842, -0.4775, 37.3501, 92.1799, 0, 1
1745404320.005, 2.063, 3.701, -0.3844, -1.1232, -4.6806, -0.4929, 37.3257, 92.1779, 0, 1
1745404320.084, 2.063, 3.696, -0.3868, -1.1233, -4.6775, -0.5015, 37.3072, 92.1688, 0, 1
1745404322.514, 2.062, 3.584, -0.4556, -1.1267, -4.5870, -0.7075, 36.4989, 92.2023, 0, 1
1745404322.594, 2.060, 3.578, -0.4561, -1.1267, -4.5864, -0.7073, 36.4988, 92.1994, 0, 1
1745404322.673, 2.060, 3.576, -0.4555, -1.1266, -4.5871, -0.7064, 36.5133, 92.1920, 0, 1
1745404322.753, 2.061, 3.574, -0.4549, -1.1266, -4.5878, -0.7060, 36.5236, 92.1919, 0, 1
1745404322.832, 2.061, 3.574, -0.4545, -1.1266, -4.5882, -0.7100, 36.5283, 92.1960, 0, 1
1745404322.912, 2.060, 3.575, -0.4544, -1.1266, -4.5883, -0.7096, 36.5341, 92.1984, 0, 1
1745404322.992, 2.061, 3.575, -0.4544, -1.1266, -4.5883, -0.7124, 36.5374, 92.2008, 0, 1
1745404323.071, 2.061, 3.575, -0.4544, -1.1265, -4.5882, -0.7134, 36.5413, 92.2005, 0, 1
